Download Code,D_num,Announced,Effective,GVKEY,PERMNO,TICKER,IBES Ticker,Company Name,COMPANY NAME - HISTORICAL,Company Name,URL,page,Start Date,End Date,Start Page,End Page,,Company,Start From Page,#of Page Visited,#of Page Downloaded,#of Records Downloaded,,
duplicate,3005901020,9/7/2016,6/1/2017,4988,47941,TGNA,GCI,TEGNA INC,TEGNA INC,TEGNA INC,https://www.glassdoor.com/Reviews/TEGNA-Reviews-E1018607.htm,59,9/8/2015,6/1/2018,,,,TEGNA INC,47,13,11,110,,
duplicate,3063341020,11/30/2015,6/2/2017,26021,78137,CKH,CKOR,SEACOR HOLDINGS INC,SEACOR HOLDINGS INC,SEACOR HOLDINGS INC,https://www.glassdoor.com/Reviews/SEACOR-Reviews-E1439.htm,3,11/30/2014,6/2/2018,,,,SEACOR HOLDINGS INC,1,3,2,16,,
green,3113110020,12/7/2016,10/2/2017,20960,14685,FNFV,FNTN/1,FIDELITY NATIONAL FINANCIAL INC,FIDELITY NATIONAL FINL INC NEW,CANNAE HOLDINGS INC,https://www.glassdoor.com/Reviews/Fidelity-National-Financial-Reviews-E39083.htm,113,12/8/2015,10/2/2018,,,,FIDELITY NATIONAL FINANCIAL INC,86,19,17,170,,
duplicate,3157900020,8/21/2017,10/2/2017,7938,28118,NC,NC1,NACCO INDUSTRIES INC,NACCO INDUSTRIES INC,NACCO INDUSTRIES -CL A,https://www.glassdoor.com/Reviews/NACCO-Industries-Reviews-E455.htm,1,8/21/2016,10/2/2018,,,,NACCO INDUSTRIES INC,1,1,0,0,,
green,3126486020,1/31/2017,11/29/2017,120093,86799,CNX,CNX,CNX RESOURCES CORP,C N X RESOURCES CORP,CNX RESOURCES CORPORATION,https://www.glassdoor.com/Reviews/CNX-Resources-Reviews-E39687.htm,8,2/1/2016,11/29/2018,,,,CNX RESOURCES CORP,6,3,2,12,2701,26906
,,,,,,,,,,,,,,,,,,,,,,,,
green,,7/21/2017,1/2/2018,,,,,Liberty Global PLC,,,https://www.glassdoor.com/Reviews/Liberty-Global-Reviews-E38776.htm,58,7/21/2016,1/2/2019,,,,,,,,,,
green,,12/27/2017,1/4/2018,,,,,Array Biopharma Inc,,,https://www.glassdoor.com/Reviews/Array-BioPharma-Reviews-E4648142.htm,1,12/27/2016,1/4/2019,,,,,,,,,,
green,,7/10/2017,2/23/2018,,,,,Thorley Industries LLC,,,https://www.glassdoor.com/Reviews/4moms-Reviews-E505096.htm,5,7/10/2016,2/23/2019,,,,,,,,,,
,,2/23/2018,2/23/2018,,,,,Physical Optics Corp,,,https://www.glassdoor.com/Reviews/Mercury-Systems-Reviews-E4049.htm,73,2/23/2017,2/23/2019,,,,,,,,,,
green,,3/23/2017,3/26/2018,,,,,IDT Corp,,,https://www.glassdoor.com/Reviews/IDT-Reviews-E5817.htm,36,3/23/2016,3/26/2019,,,,,,,,,,
green,,9/7/2017,3/26/2018,,,,,Cogint Inc,,,https://www.glassdoor.com/Reviews/Fluent-Reviews-E825747.htm,10,9/7/2016,3/26/2019,,,,,,,,,,
green,,3/27/2018,3/27/2018,,,,,RTI International,,,https://www.glassdoor.com/Reviews/RTI-International-Reviews-E4480.htm,130,3/27/2017,3/27/2019,,,,,,,,,,
green,,4/3/2018,4/3/2018,,,,,Stratasys Ltd,,,https://www.glassdoor.com/Reviews/Stratasys-Reviews-E3760.htm,40,4/3/2017,4/3/2019,,,,,,,,,,
green,,5/9/2017,4/30/2018,,,,,Pentair plc,,,https://www.glassdoor.com/Reviews/Pentair-Reviews-E1767.htm,104,5/9/2016,4/30/2019,,,,,,,,,,
green,,12/7/2017,5/9/2018,,,,,Dover Corp,,,https://www.glassdoor.com/Reviews/Dover-Corporation-Reviews-E206.htm,47,12/7/2016,5/9/2019,,,,,,,,,,
